envSteps,gradientSteps,totalReward,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,actorLoss,criticLoss,entropies,logprobs,advantages,criticValues
2000,1,-49.25373134328436,12468.3046875,12463.9814453125,1.023398756980896,1.9073486301479647e-07,-0.043140728026628494,0.9446139335632324,4.932194709777832,-0.3310430645942688,-0.12712357938289642,-0.0032145066652446985
2000,1,-49.25373134328436,12468.3046875,12463.9814453125,1.023398756980896,1.9073486301479647e-07,-0.043140728026628494,0.9446139335632324,4.932194709777832,-0.3310430645942688,-0.12712357938289642,-0.0032145066652446985
2000,1,-49.25373134328436,12468.3046875,12463.9814453125,1.0233831405639648,1.9073486301479647e-07,-0.043137356638908386,0.9446122646331787,4.932194709777832,-0.3310428559780121,-0.12711186707019806,-0.0032145029399544
3000,2,-40.95940959409655,12506.896484375,12502.634765625,0.9622396230697632,1.9073486301479647e-07,-0.06437027454376221,0.9268479347229004,4.92592191696167,-0.33888891339302063,-0.18749769032001495,-0.0061188205145299435
4000,3,-41.818181818182495,12504.3837890625,12500.1689453125,0.9152857065200806,1.9073486301479647e-07,-0.08719100058078766,0.9177976846694946,4.9239583015441895,-0.3345516324043274,-0.2571132779121399,-0.010489030741155148
5000,4,-51.36778115501599,12495.662109375,12491.5087890625,0.8536909222602844,1.9073486301479647e-07,-0.11763904243707657,0.9223133325576782,4.919743537902832,-0.34368187189102173,-0.3394085764884949,-0.016330381855368614
6000,5,-36.619718309859685,12494.91796875,12490.71875,0.8994422554969788,1.9073486301479647e-07,-0.13898207247257233,0.9308295845985413,4.917221546173096,-0.3412166237831116,-0.4073421061038971,-0.024457404389977455
7000,6,-49.84326018808854,12484.1044921875,12480.0439453125,0.7612243294715881,1.9073486301479647e-07,-0.16299262642860413,0.9450050592422485,4.912245750427246,-0.345356285572052,-0.4669964015483856,-0.036546677350997925
8000,7,-36.25498007968176,12475.5634765625,12471.6396484375,0.6240922808647156,1.9073486301479647e-07,-0.18610264360904694,0.9716736078262329,4.904668807983398,-0.34953534603118896,-0.5279274582862854,-0.05396650359034538
9000,8,-40.35087719298304,12466.5498046875,12462.482421875,0.767667293548584,1.9073486301479647e-07,-0.16784882545471191,0.8950479030609131,4.8976263999938965,-0.35328173637390137,-0.4747641980648041,-0.07939723134040833
10000,9,-46.84385382059875,12456.6826171875,12452.7724609375,0.6100035905838013,1.9073486301479647e-07,-0.1107979267835617,0.712778627872467,4.889248847961426,-0.36822056770324707,-0.3021755814552307,-0.11318500339984894
11000,10,-38.22393822393882,12441.4990234375,12437.5263671875,0.6730004549026489,1.9073486301479647e-07,-0.04706550016999245,0.5567672848701477,4.878829002380371,-0.36503687500953674,-0.12803512811660767,-0.155005544424057
12000,11,-47.194719471947934,12419.287109375,12415.2001953125,0.7869541645050049,1.9073486301479647e-07,-0.03763910382986069,0.4512549340724945,4.867476463317871,-0.37903618812561035,-0.09607387334108353,-0.20463697612285614
13000,12,-39.50177935943123,12394.9248046875,12390.728515625,0.896517813205719,1.9073486301479647e-07,-0.05456975847482681,0.3437291085720062,4.854317665100098,-0.3800182044506073,-0.13903236389160156,-0.26629623770713806
14000,13,-42.37288135593288,12362.474609375,12358.1328125,1.0417629480361938,1.9073486301479647e-07,-0.0762324258685112,0.23162055015563965,4.839269161224365,-0.3842742443084717,-0.1933189183473587,-0.34951645135879517
15000,14,-47.54098360655811,12297.7939453125,12293.3388671875,1.155243992805481,1.9073486301479647e-07,-0.08686657249927521,0.10771264880895615,4.822904586791992,-0.3880648612976074,-0.22254663705825806,-0.47190147638320923
16000,15,-48.45360824742341,12260.490234375,12256.44140625,0.7492017149925232,1.9073486301479647e-07,-0.10261517018079758,0.18150658905506134,4.803307056427002,-0.3829629123210907,-0.26206067204475403,-0.6623169183731079
17000,16,-46.843853820598724,12190.96484375,12186.5048828125,1.1597775220870972,1.9073486301479647e-07,-0.0792505219578743,0.07999114692211151,4.775705814361572,-0.37300044298171997,-0.21144258975982666,-0.9513591527938843
18000,17,-52.07667731629469,12142.083984375,12138.0439453125,0.7406343221664429,1.9073486301479647e-07,-0.045579347759485245,-0.5782335996627808,4.727108955383301,-0.37377309799194336,-0.11873143911361694,-1.3149690628051758
19000,18,-57.142857142858034,12095.353515625,12091.328125,0.6568270921707153,0.06856126785278294,-0.0835227221250534,3.829827308654785,4.674408435821533,-0.34974750876426697,-0.23406238853931427,-1.677135944366455
20000,19,-51.92307692307773,12037.6201171875,12033.2509765625,0.8766220211982727,0.19204134941101048,-0.15820014476776123,33.28972625732422,4.6454668045043945,-0.3220938444137573,-0.4826347231864929,-2.01100492477417
21000,20,-58.57988165680562,11998.701171875,11994.1728515625,1.0168795585632324,0.2115625858306882,-0.2589489817619324,114.06952667236328,4.59899377822876,-0.30570703744888306,-0.833457350730896,-2.322261095046997
22000,21,-60.24464831804369,11957.6357421875,11953.0966796875,1.0834215879440308,0.15604228973388645,-0.3605036735534668,220.28314208984375,4.561095714569092,-0.285293310880661,-1.2320750951766968,-2.6064815521240234
23000,22,-56.081081081081905,11917.62890625,11913.2451171875,1.0154974460601807,0.06816716194152805,-0.38258877396583557,264.19024658203125,4.571218490600586,-0.23600906133651733,-1.5653126239776611,-2.8604719638824463
24000,23,-57.516339869281865,11882.66015625,11878.3310546875,0.9622323513031006,0.06693429946899387,-0.22146901488304138,149.4525604248047,4.604831218719482,-0.1404741257429123,-1.4597800970077515,-3.083038568496704
25000,24,-57.51633986928188,11837.8173828125,11833.697265625,0.7527174353599548,0.06731314659118626,-0.02818150259554386,27.295650482177734,4.6423821449279785,-0.025287294760346413,-0.822429895401001,-3.2794535160064697
26000,25,-53.84615384615465,11815.3037109375,11811.318359375,0.6158748269081116,0.06923670768737766,-0.026978248730301857,2.1591193675994873,4.6886210441589355,0.059136927127838135,0.33390191197395325,-3.464956521987915
27000,26,-61.038961038961894,11777.619140625,11773.552734375,0.6953791975975037,0.0712251186370847,-0.03576087951660156,-0.0208553746342659,4.742060661315918,0.13907785713672638,0.18740415573120117,-3.539792537689209
28000,27,-60.52631578947452,11756.759765625,11752.810546875,0.5763260126113892,0.07274098396301243,0.20217739045619965,7.426563262939453,4.7872114181518555,0.219620481133461,-1.0031007528305054,-3.5592010021209717
29000,28,-58.76288659793897,11725.9833984375,11722.0859375,0.5238128304481506,0.07377619743347141,-0.048011474311351776,0.04070635139942169,4.816588878631592,0.3397862911224365,0.11728972941637039,-3.5837881565093994
